Account_jeno_1980@hotmail.com,0
Account_xxgchappy@vip.sina.com,1
Address_1.235.10.28,2
Address_103.20.192.4,3
Address_103.20.222.170,4
Address_103.225.196.140,5
Address_104.151.248.173,6
Address_107.6.182.179,7
Address_113.10.246.0_-_113.10.246.255,8
Address_113.160.44.154,9
Address_116.127.121.109,10
Address_118.99.60.142,11
Address_120.50.40.145,12
Address_122.10.118.129,13
Address_122.10.118.131,14
Address_122.10.83.51,15
Address_122.10.83.62,16
Address_122.10.92.14,17
Address_122.112.2.14,18
Address_122.199.128.0,19
Address_122.199.194.197,20
Address_122.199.255.255,21
Address_123.254.109.166,22
Address_123.51.208.69,23
Address_124.172.243.211,24
Address_134.255.242.47,25
Address_141.255.160.0,26
Address_141.255.161.171,27
Address_141.255.167.255,28
Address_173.252.252.204,29
Address_175.100.206.183,30
Address_180.210.206.246,31
Address_184.105.64.183,32
Address_184.82.202.248,33
Address_188.40.99.143,34
Address_192.168.0.200,35
Address_192.168.64.167,36
Address_192.184.60.229,37
Address_192.69.204.57,38
Address_192.69.208.213,39
Address_194.38.160.153,40
Address_198.20.182.55,41
Address_199.193.66.51,42
Address_199.26.84.0,43
Address_199.26.84.143,44
Address_199.26.84.169,45
Address_199.26.87.255,46
Address_200.63.46.23,47
Address_200.63.46.33,48
Address_202.142.153.154,49
Address_202.142.172.131,50
Address_202.30.224.240,51
Address_202.65.220.0_-_202.65.220.255,52
Address_202.67.215.0_-_202.67.215.255,53
Address_204.74.215.58,54
Address_210.3.0.0_-_210.3.127.255,55
Address_213.152.173.147,56
Address_219.76.239.216_-_219.76.239.223,57
Address_2_0_0_._6_3_._4_6_._2_3,58
Address_31.9.48.119,59
Address_46.4.149.236,60
Address_5.9.244.151,61
Address_50.117.115.83,62
Address_50.117.115.84,63
Address_50.117.120.235,64
Address_58.64.143.245,65
Address_58.64.155.57,66
Address_58.64.155.59,67
Address_58.64.199.0,68
Address_58.64.199.22,69
Address_58.64.199.25,70
Address_58.64.199.27,71
Address_58.64.200.178,72
Address_58.64.200.179,73
Address_60.249.219.82,74
Address_64.26.174.74,75
Address_69.46.84.51,76
Address_69.90.65.240,77
Address_69.95.218.31,78
Address_70.168.71.240,79
Address_70.39.64.0_–_70.39.127.255,80
Address_72.34.47.186,81
Address_76.73.80.188,82
Address_80.149.239.139,83
Address_81.17.28.227,84
Address_81.17.28.229,85
Address_81.17.28.231,86
Address_81.17.28.235,87
Address_83.170.33.37,88
Address_83.170.33.60,89
Address_88.150.227.197,90
Address_95.128.72.24,91
AttackerGroup_1.php,92
AttackerGroup_Ajax_Security_Team,93
AttackerGroup_Byzantine_Hades,94
AttackerGroup_NCPH,95
AttackerGroup_Network_Crack_Program_Hacker,96
AttackerGroup_NewsOnAir,97
AttackerGroup_Nilsson_family,98
AttackerGroup_Pitty_Tiger,99
Attacker_0day,100
Attacker_1.php,101
Attacker_12779_Joseph_Nilsson,102
Attacker_22476_Ajax_Security_Team,103
Attacker_37_01_attackers,104
Attacker_41_01_attackers,105
Attacker_47_01_attackers,106
Attacker_5982_Byzantine_Foothold,107
Attacker_8064_Joseph_Nilsson,108
